txn_id,client_id,adviser_id,product_id,txn_date,gross_amount,fee_amount,currency,is_refund
T0000044,C00032,ADV027,PRD0040,2025-05-28,3854.5,117.7,GBP,N
T0000045,C00396,ADV036,PRD0005,2025-04-09,2671.24,141.06,GBP,N
T0000046,C00032,ADV027,PRD0020,2025-07-28,293.04,0.59,GBP,N
T0000047,C00485,ADV034,PRD0005,2024-04-30,6468.49,97.09,GBP,N
T0000048,C00290,ADV059,PRD0022,06/01/2024,680.09,19.72,GBP,N
T0000049,C00266,ADV029,PRD0030,2024-11-23,4981.7,126.08,GBP,N
T0000050,C00222,ADV011,PRD0006,2024-07-07,2703.88,81.49,GBP,N
T0000051,C00335,ADV026,PRD0030,2025-09-25,2103.78,13.94,GBP,N
T0000052,C00067,ADV017,PRD0034,2025-07-08,7267.03,52.41,GBP,N
T0000053,C00330,ADV022,PRD0039,2025-11-20,1781.73,46.88,GBP,N
T0000054,C00204,ADV020,PRD0003,2024-07-13,1559.11,3.12,GBP,N
T0000055,C00122,ADV022,PRD0027,2025-10-05,4792.24,68.57,GBP,N
T0000056,C00322,ADV002,PRD0005,08/09/2025,4476.55,15.61,GBP,N
T0000057,C00483,ADV011,PRD0036,2025-09-27,1975.18,41.08,GBP,N
T0000058,C00192,ADV037,PRD0039,2025-01-22,1863.2,31.49,GBP,N
T0000059,C00082,ADV017,PRD0015,27/06/2025,1913.31,66.0,GBP,N
T0000060,C00134,ADV011,PRD0005,11/03/2024,4926.01,82.54,GBP,N
T0000061,C00112,ADV012,PRD0010,2025-11-04,5403.89,178.65,GBP,N
T0000062,C00444,ADV016,PRD0032,2024-01-17,7587.83,171.99,GBP,N
T0000063,C00167,ADV059,PRD0013,2024-07-19,3328.16,53.46,GBP,N
T0000064,C00352,ADV001,PRD0022,2025-08-10,1640.74,8.06,GBP,N
T0000065,C00051,ADV050,PRD0018,2024-10-31,6935.35,175.46,GBP,N
T0000066,C00143,ADV014,PRD0035,2024-03-18,38160.32,516.8,GBP,N
T0000067,C00121,ADV008,PRD0018,2024-04-28,15381.65,575.68,GBP,N
T0000068,C00210,ADV024,PRD0033,2024-06-24,1477.37,27.49,GBP,N
T0000069,C00471,ADV049,PRD0021,2025-03-30,7236.11,180.52,GBP,N
T0000070,C00401,ADV054,PRD0036,2024-12-20,3289.4,86.95,GBP,N
T0000071,C00369,ADV021,PRD0020,28/04/2024,-3344.73,-6.69,GBP,Y
T0000072,C00262,ADV035,PRD0028,2024-07-24,2899.89,38.07,GBP,N
T0000073,C00370,ADV024,PRD0024,31/07/2025,-1769.96,-37.84,GBP,Y
T0000074,C00424,ADV018,PRD0022,25/01/2025,953.06,23.32,GBP,N
T0000075,C00125,ADV023,PRD0017,2024-10-11,5441.42,103.22,GBP,N
T0000076,C00341,ADV035,PRD0017,21/07/2024,1487.61,51.38,GBP,N
T0000077,C00125,ADV023,PRD0033,23/09/2024,2262.95,66.89,GBP,N
T0000078,C00387,ADV023,PRD0012,2025-02-18,2608.1,75.5,GBP,N
T0000079,C00023,ADV050,PRD0040,2025-08-10,4000.04,131.28,GBP,N
T0000080,C00389,ADV002,PRD0022,2024-04-28,2495.51,14.31,GBP,N
T0000081,C00239,ADV053,PRD0022,20/11/2025,3223.15,95.01,GBP,N
T0000082,C00226,ADV041,PRD0017,2025-03-02,2518.65,45.87,GBP,N
T0000083,C00360,ADV003,PRD0037,2024-08-27,4615.99,26.13,GBP,N
T0000084,C00052,ADV019,PRD0039,2024-09-16,5058.32,139.5,GBP,N
T0000085,C00353,ADV019,PRD0016,2025-01-25,13617.69,464.94,GBP,N
T0000086,C00473,ADV042,PRD0037,24/02/2025,6091.52,182.38,GBP,N
T0000087,C00178,ADV042,PRD0015,2024-04-12,2218.19,58.13,GBP,N
T0000088,C00311,ADV041,PRD0022,10/03/2025,6102.39,98.42,GBP,N
T0000089,C00395,ADV028,PRD0029,26/06/2025,8379.1,332.6,GBP,N
T0000090,C00017,ADV012,PRD0016,2024-07-07,2233.4,58.57,GBP,N
T0000091,C00426,ADV018,PRD0001,2024-06-15,2267.4,37.09,GBP,N
T0000092,C00481,ADV045,PRD0035,19/05/2024,498.63,4.74,GBP,N
T0000093,C00376,ADV016,PRD0040,2024-10-11,13991.58,273.58,GBP,N
T0000094,C00116,ADV009,PRD0010,02/06/2024,4218.61,14.11,GBP,N
T0000095,C00300,ADV005,PRD0036,17/10/2025,-12351.94,-365.27,GBP,Y
T0000096,C00443,ADV057,PRD0004,2025-11-08,951.53,28.74,GBP,N
T0000097,C00148,ADV004,PRD0012,2025-10-14,458.67,7.83,GBP,N
T0000098,C00275,ADV029,PRD0005,25/05/2024,4893.18,24.3,GBP,N
T0000099,C00429,ADV030,PRD0035,21/06/2025,1759.39,23.33,GBP,N
T0000100,C00211,ADV006,PRD0033,13/12/2025,4324.09,162.02,GBP,N
T0000101,C00442,ADV045,PRD0004,02/08/2024,1862.33,67.34,GBP,N
T0000102,C00001,ADV059,PRD0036,2025-05-20,7714.16,205.41,GBP,N
T0000103,C00013,ADV050,PRD0033,2025-07-01,2781.78,100.81,GBP,N
T0000104,C00046,ADV005,PRD0019,2024-06-22,3223.34,96.72,GBP,N
T0000105,C00278,ADV057,PRD0035,30/07/2024,5736.67,89.11,GBP,N
T0000106,C00273,ADV023,PRD0040,04/09/2024,2511.03,33.09,GBP,N
T0000107,C00175,ADV003,PRD0001,08/07/2024,2654.2,72.07,GBP,N
T0000108,C00476,ADV027,PRD0007,30/05/2024,11331.79,360.63,GBP,N
T0000109,C00445,ADV054,PRD0040,2025-02-04,3444.35,6.89,GBP,N
T0000110,C00467,ADV028,PRD0033,19/03/2024,4564.02,93.03,GBP,N
T0000111,C00272,ADV025,PRD0019,2025-04-25,5844.8,59.06,GBP,N
T0000112,C00363,ADV014,PRD0012,2024-12-24,4127.43,8.25,GBP,N
T0000113,C00251,ADV031,PRD0014,2025-12-11,5924.81,80.24,GBP,N
T0000114,C00477,ADV028,PRD0006,22/11/2024,20473.5,422.6,GBP,N
T0000115,C00404,ADV047,PRD0014,02/11/2025,9885.27,227.21,GBP,N
T0000116,C00203,ADV037,PRD0031,2025-11-08,1077.73,23.4,GBP,N
T0000117,C00496,ADV009,PRD0033,2024-03-30,529.64,13.99,GBP,N
T0000118,C00429,ADV030,PRD0014,12/08/2024,1731.17,28.22,GBP,N
T0000119,C00492,ADV056,PRD0017,06/03/2024,459.4,4.15,GBP,N
T0000120,C00090,ADV040,PRD0018,28/08/2025,339.26,13.84,GBP,N
T0000121,C00321,ADV013,PRD0025,2025-06-26,1479.07,61.79,GBP,N
T0000122,C00089,ADV056,PRD0022,2024-01-19,1591.37,13.02,GBP,N
T0000123,C00033,ADV033,PRD0004,28/01/2024,4384.2,44.08,GBP,N
T0000124,C00040,ADV016,PRD0001,21/11/2025,5609.67,41.68,GBP,N
T0000125,C00177,ADV004,PRD0035,06/04/2024,25854.02,539.89,GBP,N
T0000126,C00463,ADV039,PRD0036,11/08/2025,1983.53,39.43,GBP,N
T0000127,C00422,ADV044,PRD0007,2025-08-02,2176.69,25.66,GBP,N
T0000128,C00123,ADV020,PRD0032,07/09/2025,4549.0,98.29,GBP,N
T0000129,C00040,ADV016,PRD0003,23/03/2024,9875.94,223.22,GBP,N
T0000130,C00399,ADV053,PRD0025,17/04/2024,2961.93,73.7,GBP,N
T0000131,C00028,ADV013,PRD0018,13/01/2025,1673.17,32.9,GBP,N
T0000132,C00436,ADV014,PRD0027,03/09/2024,341.27,5.29,GBP,N
T0000133,C00242,ADV021,PRD0006,2025-08-26,7876.86,163.03,GBP,N
T0000134,C00241,ADV024,PRD0007,07/03/2025,3025.43,6.05,GBP,N
T0000135,C00259,ADV011,PRD0002,26/06/2025,14863.0,256.23,GBP,N
T0000136,C00210,ADV024,PRD0030,2024-12-14,18788.16,37.58,GBP,N
T0000137,C00185,ADV010,PRD0010,18/01/2025,20177.89,453.04,GBP,N
T0000138,C00130,ADV034,PRD0030,09/02/2025,5606.35,137.57,GBP,N
T0000139,C00495,ADV035,PRD0020,01/08/2025,8128.46,159.97,GBP,N
T0000140,C00323,ADV022,PRD0037,09/03/2025,1125.59,19.62,GBP,N
T0000141,C00243,ADV030,PRD0020,2025-07-27,5430.48,213.23,GBP,N
T0000142,C00496,ADV009,PRD0016,07/07/2025,2692.34,92.15,GBP,N
T0000143,C00031,ADV059,PRD0036,10/12/2025,9360.2,300.93,GBP,N
T0000144,C00330,ADV022,PRD0038,15/06/2024,2289.09,48.49,GBP,N
T0000145,C00216,ADV035,PRD0008,2025-11-28,3023.31,89.11,GBP,N
T0000146,C00241,ADV024,PRD0017,2025-07-05,1767.44,32.83,GBP,N
T0000147,C00325,ADV053,PRD0022,2025-10-15,18794.91,541.43,GBP,N
T0000148,C00302,ADV004,PRD0029,15/02/2024,4097.71,8.76,GBP,N
T0000149,C00301,ADV047,PRD0034,02/11/2024,1516.75,39.25,GBP,N
T0000150,C00101,ADV021,PRD0027,2024-07-28,2605.33,10.13,GBP,N
T0000151,C00415,ADV060,PRD0040,2024-08-09,1172.49,23.73,GBP,N
T0000152,C00081,ADV056,PRD0014,2024-06-17,10788.44,245.24,GBP,N
T0000153,C00070,ADV047,PRD0040,05/08/2025,11035.87,379.37,GBP,N
T0000154,C00181,ADV016,PRD0008,11/02/2025,4236.78,79.77,GBP,N
T0000155,C00168,ADV021,PRD0031,2025-03-26,4796.05,66.68,GBP,N
T0000156,C00238,ADV001,PRD0039,2024-08-24,1013.95,26.43,GBP,N
T0000157,C00450,ADV053,PRD0016,17/03/2025,14834.64,415.69,GBP,N
T0000158,C00219,ADV020,PRD0034,25/04/2025,3530.75,83.87,GBP,N
T0000159,C00353,ADV019,PRD0036,2024-08-14,22897.42,383.74,GBP,N
T0000160,C00304,ADV024,PRD0038,2025-12-27,2203.75,57.04,GBP,N
T0000161,C00251,ADV031,PRD0030,2024-03-14,5598.78,51.93,GBP,N
T0000162,C00128,ADV036,PRD0001,2025-05-16,8033.35,166.34,GBP,N
T0000163,C00078,ADV025,PRD0003,13/03/2025,7489.59,104.95,GBP,N
T0000164,C00460,ADV007,PRD0004,2025-02-26,3329.78,94.85,GBP,N
T0000165,C00296,ADV008,PRD0040,24/12/2025,9662.18,113.22,GBP,N
T0000166,C00396,ADV036,PRD0025,01/10/2024,5225.54,175.87,GBP,N
T0000167,C00354,ADV010,PRD0032,2024-11-04,3761.01,137.43,GBP,N
T0000168,C00294,ADV018,PRD0018,2025-03-23,1461.21,30.15,GBP,N
T0000169,C00311,ADV041,PRD0022,27/09/2024,11549.67,86.47,GBP,N
T0000170,C00089,ADV056,PRD0020,28/12/2025,3794.36,94.24,GBP,N
T0000171,C00411,ADV024,PRD0007,16/11/2025,5647.65,92.99,GBP,N
T0000172,C00469,ADV031,PRD0030,2025-05-22,3473.01,73.96,GBP,N
T0000173,C00417,ADV023,PRD0015,2025-12-13,-5002.99,-127.46,GBP,Y
T0000174,C00423,ADV038,PRD0014,2024-02-14,2649.3,67.32,GBP,N
T0000175,C00122,ADV022,PRD0011,2025-04-02,36292.72,850.49,GBP,N
T0000176,C00308,ADV037,PRD0028,2025-05-24,18568.5,57.58,GBP,N
T0000177,C00477,ADV028,PRD0016,01/01/2025,6733.29,138.05,GBP,N
T0000178,C00339,ADV033,PRD0029,27/05/2025,4743.5,57.51,GBP,N
T0000179,C00113,ADV048,PRD0029,27/01/2024,6703.25,159.47,GBP,N
T0000180,C00130,ADV034,PRD0028,2025-10-31,1722.0,3.44,GBP,N
T0000181,C00429,ADV030,PRD0015,2025-04-26,6279.31,64.84,GBP,N
T0000182,C00331,ADV039,PRD0003,2024-06-16,3384.42,46.3,GBP,N
T0000183,C00203,ADV037,PRD0024,2025-06-29,2527.57,8.4,GBP,N
T0000184,C00049,ADV021,PRD0027,11/11/2024,2000.7,44.92,GBP,N
T0000185,C00361,ADV032,PRD0034,01/11/2024,2013.37,53.46,GBP,N
T0000186,C00003,ADV049,PRD0017,2024-04-17,5633.26,153.48,GBP,N
T0000187,C00288,ADV055,PRD0037,2025-05-16,3744.59,65.55,GBP,N
T0000188,C00488,ADV050,,10/05/2025,1815.32,25.15,GBP,N
T0000189,C00160,ADV020,PRD0001,17/03/2024,5310.99,167.55,GBP,N
T0000190,C00434,ADV004,PRD0029,13/03/2024,4160.26,54.9,GBP,N
T0000191,C00016,ADV034,PRD0022,2024-06-24,3365.34,123.46,GBP,N
T0000192,C00174,ADV046,PRD0014,2025-03-25,13374.03,372.91,GBP,N
T0000193,C00250,ADV023,PRD0003,30/03/2025,2908.87,47.16,GBP,N
T0000194,C00391,ADV009,PRD0024,2024-12-22,1120.58,38.33,GBP,N
T0000195,C00085,ADV041,PRD0002,04/05/2025,4190.92,136.15,GBP,N
T0000196,C00151,ADV018,PRD0023,27/05/2025,1520.4,3.04,GBP,N
T0000197,C00393,ADV047,PRD0032,10/10/2024,-7679.13,-162.63,GBP,Y
T0000198,C00402,ADV056,PRD0038,2025-06-26,-6085.73,-104.4,GBP,Y
T0000199,C00032,ADV027,PRD0030,2024-12-12,2782.26,50.3,GBP,N
T0000200,C00456,ADV044,PRD0034,01/02/2025,5722.65,218.68,GBP,N
T0000201,C00299,ADV054,PRD0023,2025-09-25,2568.6,84.56,GBP,N
T0000202,C00330,ADV022,PRD0018,2024-05-16,2437.58,103.98,GBP,N
T0000203,C00348,ADV049,PRD0030,14/04/2025,758.19,23.34,GBP,N
T0000204,C00358,ADV015,PRD0005,19/01/2024,575.75,11.83,GBP,N
T0000205,C00416,ADV025,PRD0012,2025-10-03,2539.69,32.88,GBP,N
T0000206,C00315,ADV001,PRD0008,26/07/2025,17313.29,447.57,GBP,N
T0000207,C00329,ADV059,PRD0002,29/03/2024,1268.4,34.81,GBP,N
T0000208,C00423,ADV038,PRD0002,2025-01-10,3402.47,64.03,GBP,N
T0000209,C00178,ADV042,PRD0036,2024-10-15,2033.32,33.38,GBP,N
T0000210,C00239,ADV053,PRD0032,02/06/2024,5753.1,165.73,GBP,N
T0000211,C00385,ADV043,PRD0029,26/12/2024,1758.95,38.54,GBP,N
T0000212,C00288,ADV055,PRD0012,23/11/2024,3310.78,134.08,GBP,N
T0000213,C00280,ADV054,PRD0001,24/11/2024,5186.61,81.05,GBP,N
T0000214,C00097,ADV047,PRD0036,26/02/2025,2327.24,63.41,GBP,N
T0000215,C00008,ADV042,PRD0035,20/05/2025,3185.11,77.11,GBP,N
T0000216,C00257,ADV021,PRD0035,2025-09-11,3015.03,135.04,GBP,N
T0000217,C00316,ADV029,PRD0022,06/01/2024,5762.79,108.2,GBP,N
T0000218,C00159,ADV028,PRD0037,2024-06-01,6316.49,96.28,GBP,N
T0000219,C00476,ADV027,PRD0008,2024-05-15,7033.33,165.29,GBP,N
T0000220,C00484,ADV050,PRD0037,2024-07-30,5313.74,97.77,GBP,N
T0000221,C00251,ADV031,PRD0020,12/01/2025,1516.68,52.97,GBP,N
T0000222,C00433,ADV059,PRD0023,2024-08-18,2529.63,76.19,GBP,N
T0000223,C00405,ADV031,PRD0002,2025-02-13,5703.28,144.97,GBP,N
T0000224,C00193,ADV023,PRD0013,04/12/2024,3786.87,78.84,GBP,N
T0000225,C00316,ADV029,PRD0021,29/01/2025,7767.1,15.53,GBP,N
T0000226,C00233,ADV057,PRD0027,13/05/2024,1197.22,10.55,GBP,N
T0000227,C00259,ADV011,PRD0040,2025-07-31,1666.53,26.2,GBP,N
T0000228,C00199,ADV051,PRD0008,25/03/2025,1736.48,17.79,GBP,N
T0000229,C00163,ADV021,PRD0021,2025-08-21,4698.04,132.77,GBP,N
T0000230,C00369,ADV021,PRD0027,2025-08-12,2077.85,78.91,GBP,N
T0000231,C00178,ADV042,PRD0028,2025-06-15,1657.7,24.33,GBP,N
T0000232,C00078,ADV025,PRD0025,2024-02-11,4879.74,48.72,GBP,N
T0000233,C00366,ADV027,PRD0033,2025-10-19,2524.72,55.43,GBP,N
T0000234,C00247,ADV050,PRD0020,29/08/2025,1405.96,53.19,GBP,N
T0000235,C00029,ADV017,PRD0012,2025-08-31,5197.94,96.33,GBP,N
T0000236,C00389,ADV002,PRD0012,29/08/2024,3288.57,40.16,GBP,N
T0000237,C00191,ADV035,PRD0020,2024-12-08,5528.92,137.44,GBP,N
T0000238,C00304,ADV024,PRD0015,2025-12-07,5915.79,42.14,GBP,N
T0000239,C00149,ADV033,PRD0031,2024-02-06,2141.15,20.3,GBP,N
T0000240,C00146,ADV050,PRD0039,2024-05-26,2793.37,65.16,GBP,N
T0000241,C00296,ADV008,PRD0018,2025-07-01,3222.1,27.74,GBP,N
T0000242,C00471,ADV015,PRD0023,19/08/2025,6484.93,125.43,GBP,N
T0000243,C00339,ADV033,PRD0004,01/08/2025,-3483.21,-63.14,GBP,Y
T0000244,C00480,ADV022,PRD0035,09/03/2024,8909.34,76.82,GBP,N
T0000245,C00088,ADV045,PRD0003,2024-11-11,2229.65,57.8,GBP,N
T0000246,C00015,ADV033,PRD0027,2025-01-17,3595.52,146.83,GBP,N
T0000247,C00017,ADV012,PRD0002,02/03/2025,11088.23,288.93,GBP,N
T0000248,C00146,ADV050,PRD0026,2025-10-20,1070.53,13.98,GBP,N
T0000249,C00136,ADV028,PRD0019,2025-05-16,1204.24,19.21,GBP,N
T0000250,C00318,ADV044,PRD0015,2024-10-17,6549.62,173.29,GBP,N
T0000251,C00328,ADV055,PRD0016,2025-01-19,6902.56,118.64,GBP,N
T0000252,C00243,ADV030,PRD0009,31/05/2025,8405.49,126.49,GBP,N
T0000253,C00036,ADV009,PRD0017,12/01/2025,7470.07,96.54,GBP,N
T0000254,C00369,ADV021,PRD0032,25/07/2024,-8804.2,-185.6,GBP,Y
T0000255,C00449,ADV033,PRD0013,2024-10-09,2341.35,52.1,GBP,N
T0000256,C00406,ADV043,PRD0038,12/06/2025,3663.76,65.48,GBP,N
T0000257,C00350,ADV005,PRD0033,26/08/2024,5837.19,153.27,GBP,N
T0000258,C00159,ADV028,PRD0013,2024-08-15,1267.42,36.08,GBP,N
T0000259,C00074,ADV014,PRD0036,2025-05-11,1201.57,41.83,GBP,N
T0000260,C00186,ADV042,PRD0040,04/10/2024,2163.18,50.91,GBP,N
T0000261,C00046,ADV005,PRD0028,01/07/2024,8441.07,206.38,GBP,N
T0000262,C00441,ADV043,PRD0023,2025-05-13,6922.06,174.8,GBP,N
T0000263,C00369,ADV021,PRD0026,2025-07-14,1179.28,19.86,GBP,N
T0000264,C00138,ADV018,PRD0020,28/04/2024,2206.29,63.87,GBP,N
T0000265,C00130,ADV034,PRD0016,2024-08-03,2228.45,5.02,GBP,N
T0000266,C00405,ADV031,PRD0002,2025-04-25,3820.23,100.82,GBP,N
T0000267,C00017,ADV012,PRD0001,2024-03-17,4249.27,64.06,GBP,N
T0000268,C00144,ADV025,PRD0030,2025-02-28,3592.61,81.65,GBP,N
T0000269,C00495,ADV035,PRD0038,2025-06-01,1616.95,55.11,GBP,N
T0000270,C00107,ADV001,PRD0014,07/12/2025,9184.17,298.07,GBP,N
T0000271,C00219,ADV020,PRD0010,30/12/2025,8747.34,343.96,GBP,N
T0000272,C00122,ADV022,PRD0018,2024-09-18,1455.69,2.91,GBP,N
T0000273,C00036,ADV009,PRD0027,2024-03-13,3089.85,91.18,GBP,N
T0000274,C00451,ADV056,PRD0004,2024-04-30,8950.0,164.46,GBP,N
T0000275,C00020,ADV039,PRD0034,12/04/2024,4838.38,161.27,GBP,N
T0000276,C00070,ADV047,PRD0040,2024-12-31,5359.06,75.33,GBP,N
T0000277,C00334,ADV038,PRD0012,2025-05-19,2451.51,63.17,GBP,N
T0000278,C00067,ADV017,PRD0022,17/08/2024,12183.2,167.44,GBP,N
T0000279,C00481,ADV045,PRD0005,27/04/2025,1413.43,23.35,GBP,N
T0000280,C00233,ADV057,PRD0020,21/03/2024,7897.93,50.85,GBP,N
T0000281,C00295,ADV017,PRD0019,04/05/2025,16368.0,349.86,GBP,N
T0000282,C00032,ADV027,PRD0033,2025-01-12,1885.38,28.17,GBP,N
T0000283,C00012,ADV008,PRD0038,20/09/2024,11352.02,177.05,GBP,N
T0000284,C00215,ADV054,PRD0022,03/06/2024,7366.27,282.15,GBP,N
T0000285,C00320,ADV006,PRD0016,2025-05-23,2083.07,25.03,GBP,N
T0000286,C00449,ADV033,PRD0015,09/05/2024,4134.99,131.26,GBP,N
T0000287,C00022,ADV060,PRD0009,2024-02-21,12179.39,217.04,GBP,N
T0000288,C00256,ADV016,PRD0031,2024-06-16,2470.46,44.28,GBP,N
T0000289,C00044,ADV035,PRD0023,15/12/2025,-2468.04,-55.42,GBP,Y
T0000290,C00002,ADV051,PRD0030,25/07/2024,-310.98,-5.04,GBP,Y
T0000291,C00143,ADV014,PRD0040,2025-08-10,869.36,40.83,GBP,N
T0000292,C00083,ADV047,PRD0003,2025-05-24,2599.37,29.66,GBP,N
T0000293,C00440,ADV001,PRD0033,08/09/2025,3221.33,55.11,GBP,N
T0000294,C00164,ADV003,PRD0018,2024-06-03,5997.04,128.22,GBP,N
T0000295,C00139,ADV027,PRD0004,17/08/2024,7645.14,241.83,GBP,N
T0000296,C00227,ADV008,PRD0018,06/05/2025,19460.0,534.64,GBP,N
T0000297,C00123,ADV020,PRD0010,2024-09-29,6613.5,172.39,GBP,N
T0000298,C00178,ADV042,PRD0037,2025-04-24,44514.0,768.84,GBP,N
T0000299,C00007,ADV020,PRD0016,2024-01-07,6986.37,154.14,GBP,N
T0000300,C00267,ADV042,PRD0032,2024-04-20,11622.38,383.82,GBP,N
T0000301,C00175,ADV003,PRD0014,11/02/2025,1831.33,63.85,GBP,N
T0000302,C00314,ADV060,PRD0016,26/09/2024,5399.06,61.94,GBP,N
T0000303,C00411,ADV024,PRD0030,2024-08-28,8371.13,16.74,GBP,N
T0000304,C00118,ADV044,PRD0027,05/06/2025,8318.0,260.5,GBP,N
T0000305,C00367,ADV040,PRD0017,16/09/2025,2501.51,56.55,GBP,N
T0000306,C00399,ADV053,PRD0011,18/10/2024,3539.19,87.12,GBP,N
T0000307,C00008,ADV042,PRD0012,18/04/2024,1247.28,13.12,GBP,N
T0000308,C00320,ADV006,PRD0015,2024-10-25,4910.83,121.15,GBP,N
T0000309,C00222,ADV011,PRD0002,2025-08-31,1489.74,38.4,GBP,N
T0000310,C00415,ADV060,PRD0007,21/02/2024,8449.69,299.19,GBP,N
T0000311,C00107,ADV001,PRD0004,13/09/2024,4564.15,204.17,GBP,N
T0000312,C00174,ADV046,PRD0007,13/10/2025,6768.87,158.61,GBP,N
T0000313,C00345,ADV034,PRD0025,2024-06-17,6117.6,142.31,GBP,N
T0000314,C00045,ADV013,PRD0007,02/09/2024,5407.75,115.8,GBP,N
T0000315,C00201,ADV047,PRD0035,2025-10-21,7411.13,171.63,GBP,N
T0000316,C00441,ADV043,PRD0018,2024-05-20,3914.53,7.83,GBP,N
T0000317,C00377,ADV015,PRD0026,2025-09-22,915.26,15.2,GBP,N
T0000318,C00218,ADV042,PRD0019,2025-06-08,10981.04,182.36,GBP,N
T0000319,C00032,ADV027,PRD0023,2025-08-19,1953.7,74.56,GBP,N
T0000320,C00298,ADV057,PRD0027,16/04/2025,8094.59,237.49,GBP,N
T0000321,C00363,ADV014,PRD0028,16/05/2024,5872.62,82.64,GBP,N
T0000322,C00089,ADV056,PRD0039,2025-04-26,5104.95,78.37,GBP,N
T0000323,C00079,ADV028,PRD0040,10/01/2024,4224.48,56.79,GBP,N
T0000324,C00058,ADV019,PRD0002,2024-05-24,-4674.51,-35.5,GBP,Y
T0000325,C00484,ADV050,PRD0025,2024-08-02,4375.56,115.37,GBP,N
T0000326,C00336,ADV005,PRD0037,2025-07-04,3745.5,111.39,GBP,N
T0000327,C00011,ADV004,PRD0017,2024-12-18,3308.24,55.65,GBP,N
T0000328,C00418,ADV028,PRD0009,2024-11-12,4745.51,9.49,GBP,N
T0000329,C00075,ADV003,PRD0003,19/10/2024,6176.17,126.29,GBP,N
T0000330,C00128,ADV036,PRD0021,22/02/2024,2539.61,73.94,GBP,N
T0000331,C00235,ADV009,PRD0025,21/11/2024,4516.27,79.18,GBP,N
